"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200507","Wide Body","Airbus","A340","600","Europe","International","Passenger","31","Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","17701000"
"200507","Regional Jet","Bombardier","CRJ","900","US","Domestic","Passenger","35","Mesa Airlines","YV","US Airways","US ","2572500"
"200507","Narrow Body","Airbus","A318",,"Mexico","International","Passenger","1","Mexicana Airlines","MX","Mexicana Airlines","MX","126770"
"200507","Narrow Body","Airbus","A319",,"Mexico","International","Passenger","20","Mexicana Airlines","MX","Mexicana Airlines","MX","2690000"
"200507","Narrow Body","Airbus","A320",,"Mexico","International","Passenger","42","Mexicana Airlines","MX","Mexicana Airlines","MX","5972400"
"200507","Narrow Body","McDonnell Douglas","MD-88",,"US","Domestic","Passenger","31","Midwest Airlines","YX","Midwest Airlines","YX","4324500"
"200507","Wide Body","Boeing","747","200","Asia","International","Freighter","48","Nippon Cargo Airlines","KZ","Nippon Cargo Airlines","KZ","30240000"
"200507","Wide Body","Boeing","747","200","US","Domestic","Freighter","3","Northwest Airlines","NW","Northwest Airlines","NW","1890000"
"200507","Wide Body","Boeing","747","200","Asia","International","Freighter","1","Northwest Airlines","NW","Northwest Airlines","NW","639000"
"200507","Narrow Body","Boeing","757","300","US","Domestic","Passenger","93","Northwest Airlines","NW","Northwest Airlines","NW","20832000"
"200507","Narrow Body","Boeing","757",,"US","Domestic","Passenger","185","Northwest Airlines","NW","Northwest Airlines","NW","36630000"
"200507","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","9","Northwest Airlines","NW","Northwest Airlines","NW","1209600"
"200507","Narrow Body","Airbus","A320",,"US","Domestic","Passenger","83","Northwest Airlines","NW","Northwest Airlines","NW","11802600"
"200507","Wide Body","Airbus","A330","223","Asia","International","Passenger","31","Northwest Airlines","NW","Northwest Airlines","NW","12437200"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","28","Philippine Airlines","PR","Philippine Airlines","PR","17640000"
"200507","Wide Body","Airbus","A340","300","Asia","International","Passenger","8","Philippine Airlines","PR","Philippine Airlines","PR","3351040"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","33","Singapore Airlines","SQ","Singapore Airlines","SQ","20790000"
"200507","Wide Body","Boeing","747",,"Asia","International","Passenger","2","Singapore Airlines","SQ","Singapore Airlines","SQ","1331600"
"200507","Wide Body","Boeing","777","200ER","Asia","International","Passenger","31","Singapore Airlines","SQ","Singapore Airlines","SQ","14230550"
"200507","Regional Jet","Bombardier","CRJ","500","US","Domestic","Passenger","155","SkyWest Airlines","OO","Delta Air Lines","DL","7285000"
"200507","Regional Jet","Bombardier","CRJ","600","US","Domestic","Passenger","268","SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","17956000"
"200507","Regional Jet","Bombardier","CRJ","600","Canada","International","Passenger","62","SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","4154000"
"200507","Regional Jet","Bombardier","CRJ","700","US","Domestic","Passenger","1360","SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","63920000"
"200507","Turbo Prop","Embraer","ERJ","120","US","Domestic","Passenger","1655","SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","42699000"
"200507","Narrow Body","Boeing","737","800","US","Domestic","Passenger","31","Sun Country Airlines","SY","Sun Country Airlines","SY","4533500"
"200507","Narrow Body","Airbus","A320",,"Central America","International","Passenger","62","TACA","TA","TACA","TA","8816400"
"200507","Wide Body","Boeing","747","200B","US","Domestic","Freighter","8","Tradewinds Airlines","WI","Tradewinds Airlines","WI","5040000"
"200507","Narrow Body","Boeing","737","300","US","Domestic","Passenger","144","US Airways","US ","US Airways","US ","16426400"
"200507","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","148","US Airways","US ","US Airways","US ","20379700"
"200507","Narrow Body","Airbus","A320",,"US","Domestic","Passenger","100","US Airways","US ","US Airways","US ","14213600"
"200507","Narrow Body","Airbus","A321",,"US","Domestic","Passenger","259","US Airways","US ","US Airways","US ","44418500"
"200507","Narrow Body","Boeing","737","200","US","Domestic","Passenger","1","United Airlines","UA","United Airlines","UA","98000"
"200507","Narrow Body","Boeing","737","500","US","Domestic","Passenger","4","United Airlines","UA","United Airlines","UA","440000"
"200507","Narrow Body","Boeing","737","700","US","Domestic","Passenger","76","United Airlines","UA","United Airlines","UA","9728000"
"200507","Narrow Body","Boeing","737","800","US","Domestic","Passenger","199","United Airlines","UA","United Airlines","UA","28656000"
"200507","Narrow Body","Boeing","737","900","US","Domestic","Passenger","26","United Airlines","UA","United Airlines","UA","3829800"
"200507","Narrow Body","Boeing","737",,"US","Domestic","Passenger","68","United Airlines","UA","United Airlines","UA","7752000"
"200507","Narrow Body","Boeing","757","200","US","Domestic","Passenger","61","United Airlines","UA","United Airlines","UA","12078000"
"200507","Wide Body","Boeing","767","300","US","Domestic","Passenger","1","United Airlines","UA","United Airlines","UA","350000"
"200507","Narrow Body","Boeing","737","300","US","Domestic","Passenger","410","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","46740000"
"200507","Narrow Body","Boeing","737","322","Canada","International","Passenger","124","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","14136000"
"200507","Narrow Body","Boeing","737","500","US","Domestic","Passenger","88","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","9680000"
"200507","Wide Body","Boeing","747","422","US","Domestic","Passenger","39","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","24570000"
